03,05,09,18,36
03,05,11,38,39
03,05,13,24,50
03,05,27,29,33
03,05,28,31,46

03,06,07,19,39
03,06,11,48,49
03,06,25,29,31
03,06,28,41,50
03,06,33,38,46

03,07,09,13,49
03,07,11,16,33
03,07,18,28,37
03,07,25,36,48
03,07,26,31,41

03,09,19,25,37
03,09,24,27,28
03,11,19,29,46
03,11,25,26,28
03,13,16,18,38

03,13,26,33,48
03,13,27,31,37
03,13,36,39,46
03,16,25,27,41
03,16,31,49,50

03,18,25,33,49
03,18,29,39,48
03,19,26,38,50
03,24,29,36,37
03,24,33,39,41

03,27,36,38,49
05,06,09,27,37
05,06,11,26,41
05,06,18,31,38
05,06,28,33,49

05,07,09,24,38
05,07,13,28,48
05,07,19,25,26
05,09,11,13,19
05,11,16,28,37

05,11,18,24,27
05,11,25,33,48
05,13,25,36,37
05,16,19,33,38
05,16,24,25,39

05,16,26,46,49
05,18,39,49,50
05,18,41,46,48
05,19,24,36,46
05,19,29,37,41

05,19,31,48,49
05,25,29,38,46
05,26,27,28,38
05,27,31,39,41
05,36,38,41,50

06,07,11,18,46
06,07,13,33,41
06,07,16,26,50
06,07,31,36,37
06,09,11,16,38

06,09,18,25,41
06,09,28,29,39
06,09,36,46,49
06,11,13,37,50
06,11,24,33,36

06,13,16,31,39
06,13,26,27,49
06,16,25,28,48
06,16,29,33,37
06,18,19,26,28

06,19,24,27,31
06,19,25,33,50
06,19,36,41,48
06,24,25,38,49
06,24,26,37,48

06,24,29,41,46
06,25,26,39,46
06,27,36,39,50
07,09,16,46,48
07,11,25,37,49

07,11,29,31,48
07,13,18,19,24
07,13,26,37,46
07,16,18,29,41
07,16,24,36,49

07,18,25,27,39
07,19,27,37,38
07,19,28,31,50
07,19,33,46,49
07,24,26,28,39

07,24,29,33,50
07,26,27,29,36
07,27,41,48,49
07,28,36,38,46
07,31,38,39,49

07,39,41,46,50
09,11,18,33,37
09,11,41,48,50
09,13,16,28,36
09,13,25,38,48

09,13,31,33,50
09,16,24,31,41
09,16,27,33,49
09,18,28,31,48
09,19,24,29,49

09,19,31,39,46
09,24,25,26,33
09,24,37,46,50
09,26,29,31,37
09,26,36,39,41

09,27,29,38,41
09,28,38,49,50
11,13,27,28,41
11,13,33,38,49
11,16,18,19,31

11,16,24,26,29
11,16,25,46,50
11,19,24,28,48
11,25,27,31,36
11,26,31,33,39

11,26,36,37,38
11,27,39,46,49
11,29,36,41,49
11,31,38,41,46
13,16,27,29,46

13,18,25,29,50
13,18,37,48,49
13,19,25,41,46
13,19,26,31,36
13,19,27,39,48

13,24,28,33,46
13,24,29,38,39
16,18,33,39,46
16,19,37,39,49
16,26,38,41,48

16,28,29,31,38
16,29,36,48,50
16,36,37,41,46
18,19,25,36,38
18,19,27,46,50

18,24,26,31,46
18,24,28,36,50
18,24,33,38,48
18,26,29,38,49
18,26,37,41,50

18,29,31,33,36
19,25,27,28,49
19,26,27,33,41
19,28,33,36,39
24,25,27,46,48

24,28,37,38,41
24,31,33,37,49
24,31,36,39,48
25,28,29,33,41
25,31,37,41,48

25,33,37,38,39
26,28,29,46,50
26,28,36,48,49
27,29,37,49,50
27,31,38,48,50

27,33,36,37,48
28,37,39,46,48
